Date,Year,Month,Month_Name,Quarter,Region,Revenue_NGN,COGS_NGN,Gross_Profit_NGN,Operating_Expenses_NGN,Marketing_Spend_NGN,Net_Profit_NGN,Units_Sold,Gross_Margin_Pct
2019-01-01,2019,1,Jan,Q1,Lagos,15791187.76,9207680.55,6583507.21,2761285.39,1241913.1,2675555.27,5626,41.69
2019-01-01,2019,1,Jan,Q1,Abuja,9132912.31,5325308.03,3807604.27,1597003.2,624249.37,1547420.75,3361,41.69
2019-01-01,2019,1,Jan,Q1,Kano,7816365.67,4557643.11,3258722.55,1366788.66,474290.66,1324353.73,2878,41.69
2019-01-01,2019,1,Jan,Q1,Port Harcourt,6870745.86,4006261.85,2864484.01,1201435.28,367462.46,1164134.11,2305,41.69
2019-01-01,2019,1,Jan,Q1,Ibadan,4895366.05,2854438.02,2040928.03,856015.58,370402.08,829438.71,1852,41.69
2019-02-01,2019,2,Feb,Q1,Lagos,14649313.76,8150231.19,6499082.57,2417780.1,775461.79,2856911.73,4680,44.36
2019-02-01,2019,2,Feb,Q1,Abuja,8095996.88,4504255.11,3591741.78,1336195.03,446867.1,1578882.73,2674,44.36
2019-02-01,2019,2,Feb,Q1,Kano,7218963.84,4016312.66,3202651.19,1191446.06,494322.18,1407843.59,2377,44.36
2019-02-01,2019,2,Feb,Q1,Port Harcourt,6211576.38,3455846.76,2755729.61,1025182.89,380386.86,1211382.71,1867,44.36
2019-02-01,2019,2,Feb,Q1,Ibadan,4962074.86,2760679.3,2201395.56,818960.26,375602.74,967704.71,1612,44.36
2019-03-01,2019,3,Mar,Q1,Lagos,17613684.95,10235281.18,7378403.76,2892907.28,917973.52,3139847.54,4811,41.89
2019-03-01,2019,3,Mar,Q1,Abuja,10039403.68,5833879.73,4205523.95,1648891.99,678395.31,1789642.37,2686,41.89
2019-03-01,2019,3,Mar,Q1,Kano,9456408.79,5495102.43,3961306.36,1553139.73,582941.24,1685716.64,2647,41.89
2019-03-01,2019,3,Mar,Q1,Port Harcourt,7530576.27,4376004.56,3154571.71,1236837.09,499793.08,1342414.23,2165,41.89
2019-03-01,2019,3,Mar,Q1,Ibadan,6305435.87,3664077.64,2641358.23,1035617.55,497093.56,1124018.48,1711,41.89
2019-04-01,2019,4,Apr,Q2,Lagos,20666360.85,12038534.06,8627826.8,3138070.08,1076321.41,3842829.7,5697,41.75
2019-04-01,2019,4,Apr,Q2,Abuja,10381703.89,6047532.84,4334171.06,1576403.05,548499.56,1930437.6,3158,41.75
2019-04-01,2019,4,Apr,Q2,Kano,10273337.04,5984407.16,4288929.88,1559948.16,611975.18,1910287.21,2868,41.75
2019-04-01,2019,4,Apr,Q2,Port Harcourt,8776530.58,5112489.95,3664040.62,1332666.56,653272.76,1631961.85,2370,41.75
2019-04-01,2019,4,Apr,Q2,Ibadan,6421805.46,3740819.41,2680986.05,975114.86,455319.59,1194109.84,1927,41.75
2019-05-01,2019,5,May,Q2,Lagos,19305391.75,12026498.77,7278892.98,3484202.68,1390994.62,2656283.21,6273,37.7
2019-05-01,2019,5,May,Q2,Abuja,11333496.09,7060321.73,4273174.36,2045449.16,627005.12,1559407.64,3262,37.7
2019-05-01,2019,5,May,Q2,Kano,10117863.07,6303030.23,3814832.84,1826053.88,806547.02,1392145.27,3192,37.7
2019-05-01,2019,5,May,Q2,Port Harcourt,7993157.08,4979422.08,3013735.01,1442590.74,585837.58,1099800.99,2483,37.7
2019-05-01,2019,5,May,Q2,Ibadan,6320009.06,3937116.75,2382892.31,1140623.97,478755.74,869587.84,2168,37.7
2019-06-01,2019,6,Jun,Q2,Lagos,20078508.56,12323300.02,7755208.54,3516428.54,1458428.29,2967146.0,6596,38.62
