Date,Year,Month,Month_Name,Quarter,Revenue_NGN,Net_Profit_NGN,Gross_Profit_NGN,COGS_NGN,Units_Sold,Gross_Margin_Pct
2019-01-01,2019,1,Jan,Q1,44506577.65,7540902.57,18555246.07,25951331.560000002,16022,41.69
2019-02-01,2019,2,Feb,Q1,41137925.72,8022725.47,18250600.71,22887325.02,13210,44.36
2019-03-01,2019,3,Mar,Q1,50945509.559999995,9081639.26,21341164.009999998,29604345.54,14020,41.89
2019-04-01,2019,4,Apr,Q2,56519737.82,10509626.200000001,23595954.41,32923783.42,16020,41.75
2019-05-01,2019,5,May,Q2,55069917.05,7577224.95,20763527.5,34306389.56,17378,37.7
2019-06-01,2019,6,Jun,Q2,56994643.86,8422509.52,22013853.64,34980790.22,18236,38.62
2019-07-01,2019,7,Jul,Q3,66460010.88,9709365.75,24010588.03,42449422.84,22535,36.13
2019-08-01,2019,8,Aug,Q3,59426012.12,9935573.37,23935520.47,35490491.65,21428,40.28
2019-09-01,2019,9,Sep,Q3,60913832.06,10345550.22,26682730.05,34231102.03,18342,43.8
2019-10-01,2019,10,Oct,Q4,67837245.94,10290109.64,25688304.47,42148941.47,20502,37.87
2019-11-01,2019,11,Nov,Q4,73577293.43,11159742.24,27512131.560000002,46065161.86,21968,37.39
2019-12-01,2019,12,Dec,Q4,79656536.95,12233630.99,31374501.83,48282035.1,24114,39.39
2020-01-01,2020,1,Jan,Q1,54265157.02,6595090.43,20235655.15,34029501.87,19078,37.29
2020-02-01,2020,2,Feb,Q1,48240109.31,8054283.16,19325973.84,28914135.49,16047,40.06
2020-03-01,2020,3,Mar,Q1,57263133.62,8582825.1,22775078.13,34488055.47,16509,39.77
2020-04-01,2020,4,Apr,Q2,40399912.98,6197970.51,16452698.85,23947214.13,12954,40.72
2020-05-01,2020,5,May,Q2,42131507.54,8422229.38,18852083.77,23279423.759999998,12675,44.75
2020-06-01,2020,6,Jun,Q2,48871829.85,8648360.38,21465038.28,27406791.56,14857,43.92
2020-07-01,2020,7,Jul,Q3,44132348.44,8602610.44,19720852.419999998,24411496.02,13221,44.69
2020-08-01,2020,8,Aug,Q3,41192320.53,5903706.74,15915022.07,25277298.45,15257,38.64
2020-09-01,2020,9,Sep,Q3,79942858.62,13256248.040000001,33461234.8,46481623.8,28165,41.86
2020-10-01,2020,10,Oct,Q4,79070698.5,12307191.15,31560510.34,47510188.15,30459,39.91
2020-11-01,2020,11,Nov,Q4,91632496.59,13131871.87,32918365.28,58714131.31,29870,35.92
2020-12-01,2020,12,Dec,Q4,93214149.36999999,15223171.54,39622610.9,53591538.46,37789,42.51
2021-01-01,2021,1,Jan,Q1,63896560.3,10865347.65,26131246.43,37765313.89,22049,40.9
2021-02-01,2021,2,Feb,Q1,63695449.49,9591469.22,23850435.34,39845014.16,20338,37.44
2021-03-01,2021,3,Mar,Q1,68970975.43,13280844.0,29458895.68,39512079.74,25081,42.71
2021-04-01,2021,4,Apr,Q2,79178817.28,14563372.0,35020949.96,44157867.34,25479,44.23
2021-05-01,2021,5,May,Q2,84837093.19,14083181.93,35718524.839999996,49118568.36,32452,42.1
2021-06-01,2021,6,Jun,Q2,88648882.45,17564351.990000002,38462788.42,50186094.05,34726,43.39
